[INFO](test_class.py) 2025-08-15 16:06:13,604: Iniciando..
[INFO](test_class.py) 2025-08-15 16:06:14,939: Browser criado com sucesso
[INFO](test_class.py) 2025-08-15 16:06:14,939: Scraper criado com sucesso
[CRITICAL](test_class.py) 2025-08-15 16:06:19,670: Acesso ao site concedido
[INFO](validator.py) 2025-08-15 17:55:20,710: Carregando dados da planilha excel.
[INFO](validator.py) 2025-08-15 17:55:37,823: Carregando dados da planilha excel.
[INFO](validator.py) 2025-08-15 17:55:38,613: 5137 registros encontrados.
[INFO](validator.py) 2025-08-15 17:57:02,271: Carregando dados da planilha excel.
[INFO](validator.py) 2025-08-15 17:57:02,589: 5137 registros encontrados.
[INFO](validator.py) 2025-08-15 17:57:02,589: Modo automático. Será utilizado todos os scrapers.
[INFO](validator.py) 2025-08-15 17:57:02,590: Iniciando validação.
[INFO](validator.py) 2025-08-15 17:57:02,594: Processo finalizado.
[INFO](validator.py) 2025-08-16 08:56:30,305: Carregando dados da planilha excel.
[INFO](validator.py) 2025-08-16 08:56:31,181: 5137 registros encontrados.
[INFO](validator.py) 2025-08-16 08:56:31,181: Modo automático. Será utilizado todos os scrapers.
[INFO](validator.py) 2025-08-16 08:56:31,181: Iniciando validação.
[INFO](validator.py) 2025-08-16 08:56:31,489: Processo finalizado.
[INFO](validator.py) 2025-08-16 08:57:15,649: Carregando dados da planilha excel.
[INFO](validator.py) 2025-08-16 08:57:15,975: 5137 registros encontrados.
[INFO](validator.py) 2025-08-16 08:57:15,975: Modo automático. Será utilizado todos os scrapers.
[INFO](validator.py) 2025-08-16 08:57:15,975: Iniciando validação.
[INFO](validator.py) 2025-08-16 08:57:30,535: Carregando dados da planilha excel.
[INFO](validator.py) 2025-08-16 08:57:30,854: 5137 registros encontrados.
[INFO](validator.py) 2025-08-16 08:57:30,855: Modo automático. Será utilizado todos os scrapers.
[INFO](validator.py) 2025-08-16 08:57:30,855: Iniciando validação.
[INFO](validator.py) 2025-08-16 08:57:31,391: Processo finalizado.
[INFO](validator.py) 2025-08-16 11:31:07,888: Carregando dados da planilha excel.
[INFO](validator.py) 2025-08-16 11:31:08,222: 5136 registros encontrados.
[INFO](validator.py) 2025-08-16 11:31:08,222: Modo automático. Será utilizado todos os scrapers.
[INFO](validator.py) 2025-08-16 11:31:08,222: Iniciando validação.
[INFO](validator.py) 2025-08-16 11:31:08,226: Processo finalizado.
